id,name,duration,max_temp,min_temp,month_plant,water,ph_max,ph_min
1,Laburnum,20,25,18,,6,7,4.5
2,Wheat,5,24,15,10,3,6.5,5.6
3,Rice,6,40,22,7,7,8,5
4,Onion,84,30,15,4,3,6.8,5.5
5,Groundnut,90,45,15,6,4,7.5,6
6,Banana,360,35,25,3,7,7,5.5
7,Potato,60,30,10,11,3,6.4,5.2
8,Pumpkin,90,30,18,1,,6.5,6
9,Sugarcane,11,27,21,2,8,8.5,5
10,Ragi,120,40,25,5,3,8.2,5
11,Cardamom,150,35,10,4,7,6.5,5.5
12,Nutmeg,600,45,20,0,4,7,6
13,Garlic,250,35,30,7,4,7.5,6
14,Turmeric,300,30,20,5,5,8.6,7.4
15,Ginger,120,35,28,5,5,0,0
16,Black pepper,150,40,10,5,3,6,4.5
17,Coriander,20,35,20,0,6,6.8,6.2
18,Cotton,210,30,21,4,6,6.5,6
19,Mango,,,,,6,7.5,6.5
20,Guava,20,35,25,,5,8.5,5
21,Coconuts,120,40,25,0,7,8,6
22,Cashew,,,,,4,7.5,6.8
23,Tea,,30,20,,6,5.5,4.5
24,Coffee,,20,10,0,5,7,6.5
25,Maize,100,30,22,6,5,7,5.5
